event_name,genre,location,review,category,sentiment,year
Coldplay Concert Bangalore,Theatre,Pune,The event was a complete letdown.,Venue & Facilities,Negative,2021
Coldplay Concert Bangalore,Music,Kolkata,The artists were phenomenal!,Staff & Service,Positive,2022
Coldplay Concert Bangalore,Comedy,Chennai,"Average event, could be better.",Staff & Service,Neutral,2023
Coldplay Concert Bangalore,Fashion,Ahmedabad,I would not recommend this event to anyone.,Staff & Service,Negative,2020
Coldplay Concert Bangalore,Fashion,Kolkata,Absolutely magical experience!,Value for Money,Positive,2019
Coldplay Concert Bangalore,Comedy,Goa,Okayish experience overall.,Value for Money,Neutral,2020
Coldplay Concert Bangalore,Music,Chennai,The performances were underwhelming.,Value for Money,Negative,2022
Arijit Singh Live Mumbai,Theatre,Jaipur,"Great value for money, would attend again!",Content Quality,Positive,2023
Arijit Singh Live Mumbai,Sports,Pune,Had fun but a few things could be improved.,Content Quality,Neutral,2023
Arijit Singh Live Mumbai,Sports,Pune,Expected better performances.,Content Quality,Negative,2022
Arijit Singh Live Mumbai,Theatre,Bangalore,"Stellar show, exceeded expectations!",Venue & Facilities,Positive,2022
Arijit Singh Live Mumbai,Music,Kolkata,"Average event, could be better.",Venue & Facilities,Neutral,2022
Arijit Singh Live Mumbai,Music,Jaipur,Crowd management was terrible.,Venue & Facilities,Negative,2023
Arijit Singh Live Mumbai,Fashion,Hyderabad,A night to remember!,Staff & Service,Positive,2019
Arijit Singh Live Mumbai,Fashion,Ahmedabad,It was decent but nothing extraordinary.,Staff & Service,Neutral,2020
Arijit Singh Live Mumbai,Comedy,Pune,The staff was rude and unhelpful.,Staff & Service,Negative,2022
Arijit Singh Live Mumbai,Sports,Chennai,The artists were phenomenal!,Value for Money,Positive,2021
Arijit Singh Live Mumbai,Music,Jaipur,Okayish experience overall.,Value for Money,Neutral,2020
Arijit Singh Live Mumbai,Music,Jaipur,Crowd management was terrible.,Value for Money,Negative,2023
Arijit Singh Live Delhi,Comedy,Delhi,"Stellar show, exceeded expectations!",Content Quality,Positive,2019
Arijit Singh Live Delhi,Music,Kolkata,"The performances were good, but the venue was cramped.",Content Quality,Neutral,2019
Arijit Singh Live Delhi,Theatre,Ahmedabad,Poor sound quality and bad management.,Content Quality,Negative,2022
Arijit Singh Live Delhi,Theatre,Mumbai,A night to remember!,Venue & Facilities,Positive,2022
Arijit Singh Live Delhi,Fashion,Goa,"The performances were good, but the venue was cramped.",Venue & Facilities,Neutral,2022
Arijit Singh Live Delhi,Comedy,Kolkata,The staff was rude and unhelpful.,Venue & Facilities,Negative,2022
Arijit Singh Live Delhi,Comedy,Chennai,The venue was perfect and the staff was very helpful.,Staff & Service,Positive,2023
Arijit Singh Live Delhi,Music,Ahmedabad,"The event was alright, but not exceptional.",Staff & Service,Neutral,2023
Arijit Singh Live Delhi,Theatre,Hyderabad,Not worth the money spent.,Staff & Service,Negative,2021
Arijit Singh Live Delhi,Comedy,Delhi,The event was well-organized and enjoyable.,Value for Money,Positive,2022
Arijit Singh Live Delhi,Sports,Kolkata,"Mixed feelings, some good moments.",Value for Money,Neutral,2019
Arijit Singh Live Delhi,Fashion,Mumbai,Expected better performances.,Value for Money,Negative,2020
Arijit Singh Live Kolkata,Theatre,Goa,Amazing performance and great energy!,Content Quality,Positive,2022
Arijit Singh Live Kolkata,Comedy,Kolkata,"Decent experience, but not worth the hype.",Content Quality,Neutral,2021
Arijit Singh Live Kolkata,Comedy,Chennai,I would not recommend this event to anyone.,Content Quality,Negative,2019
Arijit Singh Live Kolkata,Sports,Ahmedabad,"Stellar show, exceeded expectations!",Venue & Facilities,Positive,2023
Arijit Singh Live Kolkata,Comedy,Jaipur,"It was okay, but I expected more.",Venue & Facilities,Neutral,2021
Arijit Singh Live Kolkata,Sports,Bangalore,I would not recommend this event to anyone.,Venue & Facilities,Negative,2020
Arijit Singh Live Kolkata,Theatre,Hyderabad,"Stellar show, exceeded expectations!",Staff & Service,Positive,2021
Arijit Singh Live Kolkata,Theatre,Pune,It was decent but nothing extraordinary.,Staff & Service,Neutral,2020
Arijit Singh Live Kolkata,Music,Kolkata,Expected better performances.,Staff & Service,Negative,2019
Arijit Singh Live Kolkata,Sports,Ahmedabad,"Stellar show, exceeded expectations!",Value for Money,Positive,2022
Arijit Singh Live Kolkata,Fashion,Chennai,Had fun but a few things could be improved.,Value for Money,Neutral,2023
Arijit Singh Live Kolkata,Comedy,Mumbai,Not worth the money spent.,Value for Money,Negative,2022
Sunburn Goa,Sports,Goa,The artists were phenomenal!,Content Quality,Positive,2021
Sunburn Goa,Fashion,Delhi,"It was okay, but I expected more.",Content Quality,Neutral,2019
Sunburn Goa,Comedy,Kolkata,Poor sound quality and bad management.,Content Quality,Negative,2021
Sunburn Goa,Fashion,Ahmedabad,The event was well-organized and enjoyable.,Venue & Facilities,Positive,2019
Sunburn Goa,Sports,Bangalore,It was decent but nothing extraordinary.,Venue & Facilities,Neutral,2023
Sunburn Goa,Theatre,Delhi,Poor sound quality and bad management.,Venue & Facilities,Negative,2021
Sunburn Goa,Sports,Mumbai,Absolutely magical experience!,Staff & Service,Positive,2019
Sunburn Goa,Fashion,Bangalore,It was decent but nothing extraordinary.,Staff & Service,Neutral,2019
Sunburn Goa,Sports,Jaipur,The staff was rude and unhelpful.,Staff & Service,Negative,2020
Sunburn Goa,Music,Chennai,"Great value for money, would attend again!",Value for Money,Positive,2021
Sunburn Goa,Music,Kolkata,Could have been better organized.,Value for Money,Neutral,2020
Sunburn Goa,Fashion,Delhi,Disappointed with the organization.,Value for Money,Negative,2022
Sunburn Mumbai,Sports,Kolkata,Amazing performance and great energy!,Content Quality,Positive,2019
Sunburn Mumbai,Music,Hyderabad,"Average event, could be better.",Content Quality,Neutral,2019
Sunburn Mumbai,Sports,Jaipur,The event was a complete letdown.,Content Quality,Negative,2023
Sunburn Mumbai,Theatre,Jaipur,A night to remember!,Venue & Facilities,Positive,2023
Sunburn Mumbai,Music,Bangalore,"It was okay, but I expected more.",Venue & Facilities,Neutral,2022
Sunburn Mumbai,Sports,Ahmedabad,The event was a complete letdown.,Venue & Facilities,Negative,2019
Sunburn Mumbai,Fashion,Ahmedabad,The artists were phenomenal!,Staff & Service,Positive,2023
Sunburn Mumbai,Theatre,Jaipur,Okayish experience overall.,Staff & Service,Neutral,2023
Sunburn Mumbai,Theatre,Jaipur,Expected better performances.,Staff & Service,Negative,2022
Sunburn Mumbai,Theatre,Jaipur,"Great value for money, would attend again!",Value for Money,Positive,2023
Sunburn Mumbai,Comedy,Bangalore,"Average event, could be better.",Value for Money,Neutral,2023
Sunburn Mumbai,Sports,Jaipur,Crowd management was terrible.,Value for Money,Negative,2019
Sunburn Bangalore,Sports,Chennai,The event was well-organized and enjoyable.,Content Quality,Positive,2019
Sunburn Bangalore,Music,Mumbai,It was decent but nothing extraordinary.,Content Quality,Neutral,2022
Sunburn Bangalore,Sports,Chennai,Not worth the money spent.,Content Quality,Negative,2023
Sunburn Bangalore,Sports,Bangalore,"Loved the experience, highly recommended!",Venue & Facilities,Positive,2021
Sunburn Bangalore,Music,Bangalore,Had fun but a few things could be improved.,Venue & Facilities,Neutral,2021
Sunburn Bangalore,Music,Kolkata,The staff was rude and unhelpful.,Venue & Facilities,Negative,2019
Sunburn Bangalore,Theatre,Hyderabad,The venue was perfect and the staff was very helpful.,Staff & Service,Positive,2019
Sunburn Bangalore,Music,Delhi,"Average event, could be better.",Staff & Service,Neutral,2019
Sunburn Bangalore,Theatre,Jaipur,The venue was too crowded and uncomfortable.,Staff & Service,Negative,2019
Sunburn Bangalore,Music,Chennai,Amazing performance and great energy!,Value for Money,Positive,2020
Sunburn Bangalore,Comedy,Ahmedabad,"Average event, could be better.",Value for Money,Neutral,2023
Sunburn Bangalore,Sports,Pune,Poor sound quality and bad management.,Value for Money,Negative,2020
IPL Final Mumbai,Theatre,Ahmedabad,Amazing performance and great energy!,Content Quality,Positive,2020
IPL Final Mumbai,Theatre,Goa,Okayish experience overall.,Content Quality,Neutral,2019
IPL Final Mumbai,Music,Goa,The event was a complete letdown.,Content Quality,Negative,2022
IPL Final Mumbai,Sports,Jaipur,The event was well-organized and enjoyable.,Venue & Facilities,Positive,2021
IPL Final Mumbai,Sports,Goa,"Average event, could be better.",Venue & Facilities,Neutral,2019
IPL Final Mumbai,Theatre,Hyderabad,Crowd management was terrible.,Venue & Facilities,Negative,2020
IPL Final Mumbai,Fashion,Jaipur,The venue was perfect and the staff was very helpful.,Staff & Service,Positive,2020
IPL Final Mumbai,Comedy,Delhi,Could have been better organized.,Staff & Service,Neutral,2023
IPL Final Mumbai,Comedy,Chennai,The venue was too crowded and uncomfortable.,Staff & Service,Negative,2020
IPL Final Mumbai,Comedy,Pune,"Loved the experience, highly recommended!",Value for Money,Positive,2021
IPL Final Mumbai,Sports,Pune,"Decent experience, but not worth the hype.",Value for Money,Neutral,2022
IPL Final Mumbai,Theatre,Hyderabad,Not worth the money spent.,Value for Money,Negative,2020
IPL Final Delhi,Music,Delhi,The venue was perfect and the staff was very helpful.,Content Quality,Positive,2022
IPL Final Delhi,Comedy,Bangalore,Could have been better organized.,Content Quality,Neutral,2022
IPL Final Delhi,Fashion,Bangalore,The staff was rude and unhelpful.,Content Quality,Negative,2019
IPL Final Delhi,Theatre,Jaipur,A night to remember!,Venue & Facilities,Positive,2023
IPL Final Delhi,Fashion,Chennai,"Mixed feelings, some good moments.",Venue & Facilities,Neutral,2020
IPL Final Delhi,Sports,Mumbai,Poor sound quality and bad management.,Venue & Facilities,Negative,2020
IPL Final Delhi,Comedy,Pune,The venue was perfect and the staff was very helpful.,Staff & Service,Positive,2020
IPL Final Delhi,Sports,Jaipur,"It was okay, but I expected more.",Staff & Service,Neutral,2023
IPL Final Delhi,Comedy,Bangalore,Not worth the money spent.,Staff & Service,Negative,2019
IPL Final Delhi,Comedy,Chennai,"Loved the experience, highly recommended!",Value for Money,Positive,2020
IPL Final Delhi,Theatre,Ahmedabad,"The event was alright, but not exceptional.",Value for Money,Neutral,2020
IPL Final Delhi,Sports,Pune,The staff was rude and unhelpful.,Value for Money,Negative,2021
IPL Final Bangalore,Music,Mumbai,The venue was perfect and the staff was very helpful.,Content Quality,Positive,2021
IPL Final Bangalore,Fashion,Pune,"Decent experience, but not worth the hype.",Content Quality,Neutral,2021
IPL Final Bangalore,Sports,Kolkata,The venue was too crowded and uncomfortable.,Content Quality,Negative,2023
IPL Final Bangalore,Fashion,Jaipur,Fantastic vibe and great organization!,Venue & Facilities,Positive,2021
IPL Final Bangalore,Comedy,Bangalore,It was decent but nothing extraordinary.,Venue & Facilities,Neutral,2023
IPL Final Bangalore,Theatre,Goa,The staff was rude and unhelpful.,Venue & Facilities,Negative,2020
IPL Final Bangalore,Sports,Goa,Fantastic vibe and great organization!,Staff & Service,Positive,2023
IPL Final Bangalore,Music,Jaipur,Could have been better organized.,Staff & Service,Neutral,2021
IPL Final Bangalore,Theatre,Hyderabad,Poor sound quality and bad management.,Staff & Service,Negative,2019
IPL Final Bangalore,Music,Chennai,A night to remember!,Value for Money,Positive,2019
IPL Final Bangalore,Comedy,Delhi,"The performances were good, but the venue was cramped.",Value for Money,Neutral,2022
IPL Final Bangalore,Theatre,Delhi,The performances were underwhelming.,Value for Money,Negative,2019
Zakir Khan Standup Mumbai,Sports,Bangalore,The venue was perfect and the staff was very helpful.,Content Quality,Positive,2022
Zakir Khan Standup Mumbai,Comedy,Delhi,Had fun but a few things could be improved.,Content Quality,Neutral,2020
Zakir Khan Standup Mumbai,Fashion,Kolkata,Expected better performances.,Content Quality,Negative,2020
Zakir Khan Standup Mumbai,Music,Goa,Fantastic vibe and great organization!,Venue & Facilities,Positive,2019
Zakir Khan Standup Mumbai,Music,Bangalore,"Mixed feelings, some good moments.",Venue & Facilities,Neutral,2020
Zakir Khan Standup Mumbai,Sports,Ahmedabad,I would not recommend this event to anyone.,Venue & Facilities,Negative,2023
Zakir Khan Standup Mumbai,Theatre,Bangalore,"Loved the experience, highly recommended!",Staff & Service,Positive,2023
Zakir Khan Standup Mumbai,Music,Chennai,"It was okay, but I expected more.",Staff & Service,Neutral,2022
Zakir Khan Standup Mumbai,Comedy,Pune,The staff was rude and unhelpful.,Staff & Service,Negative,2019
Zakir Khan Standup Mumbai,Music,Ahmedabad,"Loved the experience, highly recommended!",Value for Money,Positive,2019
Zakir Khan Standup Mumbai,Theatre,Bangalore,"The performances were good, but the venue was cramped.",Value for Money,Neutral,2022
Zakir Khan Standup Mumbai,Music,Chennai,Not worth the money spent.,Value for Money,Negative,2022
Zakir Khan Standup Delhi,Fashion,Ahmedabad,Absolutely magical experience!,Content Quality,Positive,2021
Zakir Khan Standup Delhi,Theatre,Ahmedabad,"Average event, could be better.",Content Quality,Neutral,2020
Zakir Khan Standup Delhi,Comedy,Mumbai,I would not recommend this event to anyone.,Content Quality,Negative,2020
Zakir Khan Standup Delhi,Sports,Chennai,Amazing performance and great energy!,Venue & Facilities,Positive,2022
Zakir Khan Standup Delhi,Theatre,Jaipur,Okayish experience overall.,Venue & Facilities,Neutral,2019
Zakir Khan Standup Delhi,Fashion,Pune,Poor sound quality and bad management.,Venue & Facilities,Negative,2021
Zakir Khan Standup Delhi,Theatre,Delhi,A night to remember!,Staff & Service,Positive,2021
Zakir Khan Standup Delhi,Sports,Bangalore,"It was okay, but I expected more.",Staff & Service,Neutral,2021
Zakir Khan Standup Delhi,Comedy,Delhi,Crowd management was terrible.,Staff & Service,Negative,2020
Zakir Khan Standup Delhi,Music,Mumbai,The artists were phenomenal!,Value for Money,Positive,2021
Zakir Khan Standup Delhi,Theatre,Chennai,"Average event, could be better.",Value for Money,Neutral,2023
Zakir Khan Standup Delhi,Fashion,Bangalore,Not worth the money spent.,Value for Money,Negative,2019
Zakir Khan Standup Pune,Comedy,Hyderabad,Fantastic vibe and great organization!,Content Quality,Positive,2022
Zakir Khan Standup Pune,Sports,Mumbai,"The event was alright, but not exceptional.",Content Quality,Neutral,2019
Zakir Khan Standup Pune,Theatre,Bangalore,Disappointed with the organization.,Content Quality,Negative,2022
Zakir Khan Standup Pune,Comedy,Bangalore,"Great value for money, would attend again!",Venue & Facilities,Positive,2022
Zakir Khan Standup Pune,Theatre,Goa,"Average event, could be better.",Venue & Facilities,Neutral,2023
Zakir Khan Standup Pune,Comedy,Bangalore,Crowd management was terrible.,Venue & Facilities,Negative,2022
Zakir Khan Standup Pune,Fashion,Ahmedabad,"Stellar show, exceeded expectations!",Staff & Service,Positive,2023
Zakir Khan Standup Pune,Sports,Hyderabad,Had fun but a few things could be improved.,Staff & Service,Neutral,2020
Zakir Khan Standup Pune,Comedy,Kolkata,The performances were underwhelming.,Staff & Service,Negative,2021
Zakir Khan Standup Pune,Theatre,Kolkata,Amazing performance and great energy!,Value for Money,Positive,2020
Zakir Khan Standup Pune,Sports,Ahmedabad,"Average event, could be better.",Value for Money,Neutral,2023
Zakir Khan Standup Pune,Music,Mumbai,The staff was rude and unhelpful.,Value for Money,Negative,2023
Vir Das Comedy Show Mumbai,Music,Mumbai,"Great value for money, would attend again!",Content Quality,Positive,2023
Vir Das Comedy Show Mumbai,Fashion,Kolkata,"The event was alright, but not exceptional.",Content Quality,Neutral,2022
Vir Das Comedy Show Mumbai,Fashion,Delhi,I would not recommend this event to anyone.,Content Quality,Negative,2023
Vir Das Comedy Show Mumbai,Sports,Delhi,Absolutely magical experience!,Venue & Facilities,Positive,2023
Vir Das Comedy Show Mumbai,Sports,Mumbai,"The performances were good, but the venue was cramped.",Venue & Facilities,Neutral,2020
Vir Das Comedy Show Mumbai,Music,Ahmedabad,I would not recommend this event to anyone.,Venue & Facilities,Negative,2019
Vir Das Comedy Show Mumbai,Fashion,Delhi,Absolutely magical experience!,Staff & Service,Positive,2020
Vir Das Comedy Show Mumbai,Theatre,Bangalore,Could have been better organized.,Staff & Service,Neutral,2020
Vir Das Comedy Show Mumbai,Sports,Delhi,I would not recommend this event to anyone.,Staff & Service,Negative,2020
Vir Das Comedy Show Mumbai,Fashion,Delhi,The event was well-organized and enjoyable.,Value for Money,Positive,2021
Vir Das Comedy Show Mumbai,Music,Delhi,"The performances were good, but the venue was cramped.",Value for Money,Neutral,2020
Vir Das Comedy Show Mumbai,Fashion,Goa,I would not recommend this event to anyone.,Value for Money,Negative,2021
Vir Das Comedy Show Delhi,Sports,Bangalore,Fantastic vibe and great organization!,Content Quality,Positive,2019
Vir Das Comedy Show Delhi,Theatre,Delhi,"It was okay, but I expected more.",Content Quality,Neutral,2021
Vir Das Comedy Show Delhi,Fashion,Chennai,Crowd management was terrible.,Content Quality,Negative,2023
Vir Das Comedy Show Delhi,Sports,Mumbai,The artists were phenomenal!,Venue & Facilities,Positive,2021
Vir Das Comedy Show Delhi,Fashion,Delhi,Could have been better organized.,Venue & Facilities,Neutral,2020
Vir Das Comedy Show Delhi,Comedy,Kolkata,Crowd management was terrible.,Venue & Facilities,Negative,2022
Vir Das Comedy Show Delhi,Theatre,Bangalore,"Loved the experience, highly recommended!",Staff & Service,Positive,2023
Vir Das Comedy Show Delhi,Sports,Hyderabad,"Mixed feelings, some good moments.",Staff & Service,Neutral,2020
Vir Das Comedy Show Delhi,Music,Pune,Expected better performances.,Staff & Service,Negative,2021
Vir Das Comedy Show Delhi,Comedy,Kolkata,The artists were phenomenal!,Value for Money,Positive,2020
Vir Das Comedy Show Delhi,Sports,Pune,Could have been better organized.,Value for Money,Neutral,2019
Vir Das Comedy Show Delhi,Comedy,Kolkata,Disappointed with the organization.,Value for Money,Negative,2022
Vir Das Comedy Show Hyderabad,Theatre,Hyderabad,"Stellar show, exceeded expectations!",Content Quality,Positive,2019
Vir Das Comedy Show Hyderabad,Music,Bangalore,Okayish experience overall.,Content Quality,Neutral,2019
Vir Das Comedy Show Hyderabad,Comedy,Pune,Not worth the money spent.,Content Quality,Negative,2023
Vir Das Comedy Show Hyderabad,Comedy,Pune,The venue was perfect and the staff was very helpful.,Venue & Facilities,Positive,2023
Vir Das Comedy Show Hyderabad,Comedy,Hyderabad,"It was okay, but I expected more.",Venue & Facilities,Neutral,2021
Vir Das Comedy Show Hyderabad,Fashion,Pune,The performances were underwhelming.,Venue & Facilities,Negative,2022
Vir Das Comedy Show Hyderabad,Comedy,Jaipur,Amazing performance and great energy!,Staff & Service,Positive,2021
Vir Das Comedy Show Hyderabad,Sports,Ahmedabad,"Mixed feelings, some good moments.",Staff & Service,Neutral,2022
Vir Das Comedy Show Hyderabad,Music,Hyderabad,I would not recommend this event to anyone.,Staff & Service,Negative,2020
Vir Das Comedy Show Hyderabad,Comedy,Delhi,The event was well-organized and enjoyable.,Value for Money,Positive,2020
Vir Das Comedy Show Hyderabad,Comedy,Chennai,Could have been better organized.,Value for Money,Neutral,2020
Vir Das Comedy Show Hyderabad,Theatre,Pune,The venue was too crowded and uncomfortable.,Value for Money,Negative,2022
NH7 Weekender Pune,Comedy,Kolkata,The artists were phenomenal!,Content Quality,Positive,2021
NH7 Weekender Pune,Theatre,Kolkata,"The event was alright, but not exceptional.",Content Quality,Neutral,2019
NH7 Weekender Pune,Sports,Bangalore,The performances were underwhelming.,Content Quality,Negative,2020
NH7 Weekender Pune,Fashion,Mumbai,Absolutely magical experience!,Venue & Facilities,Positive,2023
NH7 Weekender Pune,Comedy,Ahmedabad,It was decent but nothing extraordinary.,Venue & Facilities,Neutral,2020
NH7 Weekender Pune,Theatre,Ahmedabad,Poor sound quality and bad management.,Venue & Facilities,Negative,2019
NH7 Weekender Pune,Sports,Goa,"Stellar show, exceeded expectations!",Staff & Service,Positive,2022
NH7 Weekender Pune,Sports,Delhi,"The event was alright, but not exceptional.",Staff & Service,Neutral,2022
NH7 Weekender Pune,Comedy,Bangalore,Crowd management was terrible.,Staff & Service,Negative,2020
NH7 Weekender Pune,Fashion,Ahmedabad,Amazing performance and great energy!,Value for Money,Positive,2023
NH7 Weekender Pune,Music,Ahmedabad,"Mixed feelings, some good moments.",Value for Money,Neutral,2021
NH7 Weekender Pune,Music,Delhi,Poor sound quality and bad management.,Value for Money,Negative,2021
NH7 Weekender Bangalore,Theatre,Jaipur,Amazing performance and great energy!,Content Quality,Positive,2021
NH7 Weekender Bangalore,Sports,Chennai,"The event was alright, but not exceptional.",Content Quality,Neutral,2021
NH7 Weekender Bangalore,Comedy,Kolkata,The staff was rude and unhelpful.,Content Quality,Negative,2022
NH7 Weekender Bangalore,Music,Mumbai,"Loved the experience, highly recommended!",Venue & Facilities,Positive,2023
NH7 Weekender Bangalore,Fashion,Ahmedabad,"It was okay, but I expected more.",Venue & Facilities,Neutral,2019
NH7 Weekender Bangalore,Fashion,Pune,The staff was rude and unhelpful.,Venue & Facilities,Negative,2019
NH7 Weekender Bangalore,Fashion,Goa,A night to remember!,Staff & Service,Positive,2023
NH7 Weekender Bangalore,Comedy,Chennai,"Mixed feelings, some good moments.",Staff & Service,Neutral,2023
NH7 Weekender Bangalore,Theatre,Kolkata,The event was a complete letdown.,Staff & Service,Negative,2022
NH7 Weekender Bangalore,Music,Pune,Absolutely magical experience!,Value for Money,Positive,2020
NH7 Weekender Bangalore,Theatre,Jaipur,"Decent experience, but not worth the hype.",Value for Money,Neutral,2019
NH7 Weekender Bangalore,Music,Jaipur,The event was a complete letdown.,Value for Money,Negative,2020
NH7 Weekender Kolkata,Sports,Hyderabad,The artists were phenomenal!,Content Quality,Positive,2021
NH7 Weekender Kolkata,Sports,Pune,"Average event, could be better.",Content Quality,Neutral,2021
NH7 Weekender Kolkata,Theatre,Pune,The performances were underwhelming.,Content Quality,Negative,2023
NH7 Weekender Kolkata,Music,Bangalore,A night to remember!,Venue & Facilities,Positive,2022
NH7 Weekender Kolkata,Comedy,Chennai,Had fun but a few things could be improved.,Venue & Facilities,Neutral,2021
NH7 Weekender Kolkata,Theatre,Jaipur,Crowd management was terrible.,Venue & Facilities,Negative,2022
NH7 Weekender Kolkata,Theatre,Jaipur,Absolutely magical experience!,Staff & Service,Positive,2020
NH7 Weekender Kolkata,Comedy,Mumbai,"Mixed feelings, some good moments.",Staff & Service,Neutral,2019
NH7 Weekender Kolkata,Sports,Chennai,The performances were underwhelming.,Staff & Service,Negative,2023
NH7 Weekender Kolkata,Comedy,Mumbai,"Loved the experience, highly recommended!",Value for Money,Positive,2021
NH7 Weekender Kolkata,Sports,Chennai,"It was okay, but I expected more.",Value for Money,Neutral,2021
NH7 Weekender Kolkata,Sports,Goa,Crowd management was terrible.,Value for Money,Negative,2021
Lollapalooza Mumbai,Comedy,Ahmedabad,Absolutely magical experience!,Content Quality,Positive,2019
Lollapalooza Mumbai,Comedy,Bangalore,"The event was alright, but not exceptional.",Content Quality,Neutral,2019
Lollapalooza Mumbai,Theatre,Chennai,Not worth the money spent.,Content Quality,Negative,2021
Lollapalooza Mumbai,Music,Hyderabad,"Stellar show, exceeded expectations!",Venue & Facilities,Positive,2023
Lollapalooza Mumbai,Comedy,Delhi,"Average event, could be better.",Venue & Facilities,Neutral,2022
Lollapalooza Mumbai,Music,Goa,The staff was rude and unhelpful.,Venue & Facilities,Negative,2022
Lollapalooza Mumbai,Fashion,Bangalore,Absolutely magical experience!,Staff & Service,Positive,2020
Lollapalooza Mumbai,Theatre,Hyderabad,"Average event, could be better.",Staff & Service,Neutral,2022
Lollapalooza Mumbai,Comedy,Bangalore,The staff was rude and unhelpful.,Staff & Service,Negative,2020
Lollapalooza Mumbai,Sports,Goa,Fantastic vibe and great organization!,Value for Money,Positive,2020
Lollapalooza Mumbai,Comedy,Pune,"It was okay, but I expected more.",Value for Money,Neutral,2022
Lollapalooza Mumbai,Comedy,Ahmedabad,Crowd management was terrible.,Value for Money,Negative,2019
Lollapalooza Delhi,Sports,Jaipur,"Stellar show, exceeded expectations!",Content Quality,Positive,2021
Lollapalooza Delhi,Comedy,Goa,Had fun but a few things could be improved.,Content Quality,Neutral,2020
Lollapalooza Delhi,Sports,Bangalore,Disappointed with the organization.,Content Quality,Negative,2020
Lollapalooza Delhi,Comedy,Chennai,Fantastic vibe and great organization!,Venue & Facilities,Positive,2022
Lollapalooza Delhi,Comedy,Goa,Could have been better organized.,Venue & Facilities,Neutral,2020
Lollapalooza Delhi,Music,Jaipur,Disappointed with the organization.,Venue & Facilities,Negative,2021
Lollapalooza Delhi,Sports,Ahmedabad,The event was well-organized and enjoyable.,Staff & Service,Positive,2019
Lollapalooza Delhi,Music,Goa,"It was okay, but I expected more.",Staff & Service,Neutral,2022
Lollapalooza Delhi,Comedy,Delhi,Not worth the money spent.,Staff & Service,Negative,2019
Lollapalooza Delhi,Music,Delhi,Absolutely magical experience!,Value for Money,Positive,2020
Lollapalooza Delhi,Fashion,Ahmedabad,"Decent experience, but not worth the hype.",Value for Money,Neutral,2023
